A	ACCELERATION
AAN	ANTI ANTI NUISANCE
ACL	"SET BASED ON GS,DFO"
AD	ADVANCE DOWN
ADF	A/D CONVERTER FAILURE FLAG
ADFCNT	A/D CONVERTER FAILURE COUNTER
ADO	ADVANCE FRONT DOOR OPEN
ADTOUT	A/D CONVERTER TIME-OUT COUNTER
ADV	ADVANCER
AFR	ALTERNATE FLOOR RETURN
AFS	AIR FLOW SWITCH (GPIO)              
AFSCNT	AIR FLOW SWITCH TIMER              
AI	POS.REF. ACCELERATION
ALLOWA	ALLOW A INTERUPTS
ALLOWB	ALLOW B INTERUPTS
AMAX	MAXIMUM VELOCITY
AMTN16	MOTION CON. 16MSEC                  
AMTN32	MOTION CON. 32MSEC                  
AMTN96	MOTION CON. 96MSEC                 
ARDO	ADVANCE REAR DOOR OPEN
ARL	ALLOW RE-LEVELING W/O GDS
ASL	ALTERNATE SERVICE LANDING
ASR	PRE-RUN LOW LEVEL ENERG. W/O GDS
ATTK	ALTERNATE KEY SWITCH
ATTS	ATTENDANT SERVICE
ATTSS	LATCHED ATT
AU	ADVANCE UP
AUDRS	LATCHED AUDR
BAKD	BOTTOM ACCESS KEY SWITCH-DOWN
BAKU	BOTTOM ACCESS KEY SWITCH-UP
BBLAST	PLOT BUFFER
BCAR	CAR LOGIC TASK POINTER
BCKTIM	DIBK TIMER
BCOM	CAB COM TASK POINTER
BCTIME	BRAKE CURRENT TIMER
BEP	BUILDING EMERGENCY POWER
BIAS	DIGF BIAS VALUE
BIGBFI	BIGBUF INPUT POINTER
BIGBFO	BIGBUF OUTPUT POINTER
BIGBUF	PLOT BUFFER
BKC	BRAKE CONTROL COMMAND (2 BITS)
BKL	ADVANCE DOOR CLOSE BRAKE LIFT        
BKL1	BRAKE LIFT 1                         
BKL2	BRAKE LIFT 2                         
BKOFF	BRAKE OFF
BKON	BRAKE ON
BLOCKN	USED FOR TEMP PLOT PACKAGE
BMI1SC	I+M 1SEC
BMICNT	I+M CONTROL
BNP	BUILDING NORMAL POWER
BPS	DIRECT DRIVE EQUIVALENT
BPSE	DIRECT DRIVE EQUIVALENT
BS	BRAKE SWITCH RELAY(0=BRK LIFTED)
BSCS	BUILDING SECURITY
BSNAP	PLOTING DATA
BTALK	GROUP COM TASK POINTER
BTIME	TIMER ROUTINE
BU	BUZZER
BWDTR2	WATCH DOG TIMER LEVEL 2
CABC	CAR CALLS
CABC2	CAR CALLS
CABC4	CAR CALLS
CABC6	CAR CALLS
CABIN	CAB COMM. INPUT
CABOUT	CAB. COMM. OUTPUT
CARL	CAR AT RETURN LANDING
CARME	END OF RAM VARIABLES
CBA	ACCEL REGION NUMBER
CBBA	CAR BUTTON BIT ARRY
CBBA2	CAR BUTTON BIT ARRY
CBBA4	CAR BUTTON BIT ARRY
CBBA6	CAR BUTTON BIT ARRY
CBD	DECEL REGION NUMBER
CBD0	CAB DIRECTIVE 0
CBDONE	DECEL REGION NUMBER 1
CBFSC	CAR BUTTON FLOOR SEVICE CUTOFF
